"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CCDC53",3.69941616003496e-10,-0.388917846363291,0.069,0.273,3.81002870322e-06
"FADS1",3.72053745674485e-10,-1.17786066119764,0.017,0.158,3.83178152670152e-06
"CLCC1",3.80565606722791e-10,-1.67090824737134,0.012,0.142,3.91944518363803e-06
"C9orf69",3.86371116140926e-10,-1.20537299150111,0.014,0.15,3.9792361251354e-06
"C11orf71",3.88961042960062e-10,-1.41539074826591,0.014,0.15,4.00590978144568e-06
"CHD7",3.90608600634246e-10,-1.17669803382745,0.029,0.185,4.0228779779321e-06
"BIVM",3.99405079805704e-10,-1.27174147038707,0.012,0.142,4.11347291691894e-06
"AFF1",3.99490218845951e-10,-0.889774072517491,0.014,0.15,4.11434976389445e-06
"EIF2B5",4.1162537941372e-10,-0.725284884390375,0.052,0.235,4.23932978258191e-06
"BMP2K",4.31462580989286e-10,-6.76777013373775,0,0.108,4.44363312160866e-06
"C6orf223",4.31462580989286e-10,-6.92657977714499,0,0.108,4.44363312160866e-06
"CAMSAP3",4.31462580989286e-10,-7.68768643301078,0,0.108,4.44363312160866e-06
"CNNM4",4.31462580989286e-10,-7.52634834987049,0,0.108,4.44363312160866e-06
"CYP4X1",4.31462580989286e-10,-7.21104987744621,0,0.108,4.44363312160866e-06
"EPB41L4B",4.31462580989286e-10,-6.49718832654817,0,0.108,4.44363312160866e-06
"FAM83H-AS1",4.31462580989286e-10,-6.69077082720583,0,0.108,4.44363312160866e-06
"GPR37",4.31462580989286e-10,-7.38305133532421,0,0.108,4.44363312160866e-06
"CTSF",4.3167475130469e-10,-1.28203017581044,0.029,0.185,4.445818263687e-06
"FBXO28",4.40802830544208e-10,-1.2497945206023,0.038,0.204,4.5398283517748e-06
"COLGALT1",4.60461637134682e-10,-0.508999296441144,0.029,0.185,4.74229440085009e-06
"GPANK1",5.07374738096964e-10,-0.633739292686062,0.058,0.246,5.22545242766063e-06
"GRIPAP1",5.1179934389824e-10,-0.422715325616782,0.038,0.204,5.27102144280797e-06
"FOXK1",5.3489860353654e-10,-0.497013727517448,0.038,0.204,5.50892071782283e-06
"ACBD6",5.39019207732018e-10,-0.728523156853041,0.069,0.269,5.55135882043205e-06
"FAHD1",5.58024614115806e-10,-0.919713940941742,0.026,0.177,5.74709550077868e-06
"ERAL1",5.64736573400674e-10,-0.328797827467248,0.026,0.177,5.81622196945354e-06
"GOLGA7B",5.67736470141513e-10,-4.53464603167852,0.003,0.115,5.84711790598744e-06
"DNAJC30",5.70602265814827e-10,-0.819639035991814,0.043,0.215,5.8766327356269e-06
"BCAS1",5.76661969802207e-10,-3.63888375337295,0.003,0.115,5.93904162699293e-06
"CTD-2270L9.4",5.76661969802207e-10,-3.93674497043383,0.003,0.115,5.93904162699293e-06
"FAM127C",5.76661969802207e-10,-3.35050981556328,0.003,0.115,5.93904162699293e-06
"ATP2C2",5.81175917779108e-10,-3.6280941283834,0.003,0.115,5.98553077720704e-06
"CCDC85C",5.81175917779108e-10,-3.28247863419876,0.003,0.115,5.98553077720704e-06
"EFTUD2",5.81911526709897e-10,-0.275004067170454,0.061,0.254,5.99310681358523e-06
"GMNN",5.82900235726578e-10,-0.792841901804754,0.043,0.215,6.00328952774802e-06
"GK",5.85724336561216e-10,-2.64159514807507,0.003,0.115,6.03237494224397e-06
"AHSA2",5.93518372691781e-10,-1.50352073866249,0.02,0.162,6.11264572035266e-06
"GMDS",6.16179319028467e-10,-1.50959288464519,0.055,0.235,6.34603080667418e-06
"ECI2",6.2177031667006e-10,-0.346064357080699,0.058,0.246,6.40361249138495e-06
"ABCE1",6.24853485116498e-10,-0.328174895589784,0.058,0.246,6.43536604321481e-06
"CD160",6.25009278769226e-10,7.23206533126906,0.145,0.004,6.43697056204426e-06
"H6PD",6.46704998988718e-10,-0.48690525015617,0.035,0.196,6.66041478458481e-06
"ADNP",6.49133860425725e-10,-0.391740585976461,0.081,0.292,6.68542962852455e-06
"ARHGAP21",6.50910095789962e-10,-3.79121135136315,0.006,0.123,6.70372307654082e-06
"CD96",6.58163954215705e-10,3.83448927810543,0.231,0.058,6.77843056446755e-06
"CCL2",6.60679026264055e-10,-3.81100668422573,0.023,0.165,6.80433329149351e-06
"D2HGDH",6.64599938945513e-10,-1.06595511453233,0.02,0.162,6.84471477119984e-06
"ETV7",6.65603404696291e-10,-3.19971947213542,0.006,0.123,6.8550494649671e-06
"EIF2B4",6.69372106420558e-10,-0.385912802518865,0.043,0.215,6.89386332402532e-06
"ANO9",6.70572703750992e-10,-2.79664287675363,0.006,0.123,6.90622827593146e-06
"FANCL",6.70572703750992e-10,-3.27904380762811,0.006,0.123,6.90622827593146e-06
"GAS2L1",6.80620122251057e-10,-2.54986727564229,0.006,0.123,7.00970663906364e-06
"ADSSL1",6.95967176030874e-10,-2.70040237321898,0.006,0.123,7.16776594594198e-06
"DTX3L",7.06479559057073e-10,-0.561675466632193,0.049,0.227,7.27603297872879e-06
"GATAD2A",7.10130741636561e-10,-0.321451340910274,0.049,0.227,7.31363650811495e-06
"ANKLE2",7.160506741811e-10,-0.306016747599809,0.064,0.258,7.37460589339115e-06
"DMWD",7.26149557731098e-10,-1.01571048922092,0.017,0.154,7.47861429507258e-06
"HNRNPH2",7.33781549171022e-10,-0.366440870532439,0.101,0.331,7.55721617491236e-06
"AK3",7.41307583192647e-10,-0.673231129497407,0.066,0.262,7.63472679930107e-06
"ENG",7.42753451691506e-10,-2.29208721617268,0.012,0.138,7.64961779897082e-06
"FAM217B",7.75147483415826e-10,-1.15143805296296,0.038,0.2,7.98324393169959e-06
"ATAD3B",7.79756371993237e-10,-1.32367011233764,0.014,0.146,8.03071087515835e-06
"C19orf43",8.03712624690949e-10,1.05446830895998,0.642,0.646,8.27743632169209e-06
"ARV1",8.041733951159e-10,-1.04125252660609,0.029,0.181,8.28218179629865e-06
"DNAJC25",8.06064787021028e-10,-0.939535747777021,0.014,0.146,8.30166124152956e-06
"CCNYL1",8.27733041387154e-10,-0.827453495931349,0.014,0.146,8.5248225932463e-06
"AASDH",8.32576746425202e-10,-0.889921801947408,0.038,0.2,8.57470791143315e-06
"ARFRP1",8.63227644093845e-10,-0.290379621126294,0.078,0.285,8.89038150652251e-06
"C6orf47",8.64768340202831e-10,-0.51860298880465,0.04,0.208,8.90624913574896e-06
"HIRIP3",8.65197917337393e-10,-0.747025405387128,0.038,0.2,8.91067335065781e-06
"ARSA",8.72503042885032e-10,-0.961737136689392,0.029,0.181,8.98590883867294e-06
"C2orf76",9.00539483477986e-10,-1.33023004852627,0.026,0.173,9.27465614033978e-06
"CDC42EP5",9.09333350970412e-10,-7.50149112471308,0,0.104,9.36522418164427e-06
"CHL1",9.09333350970412e-10,-6.9308969389592,0,0.104,9.36522418164427e-06
"COL27A1",9.09333350970412e-10,-7.38438929613111,0,0.104,9.36522418164427e-06
"DOCK4",9.09333350970412e-10,-7.66980062131033,0,0.104,9.36522418164427e-06
"DOCK6",9.09333350970412e-10,-6.88208734712489,0,0.104,9.36522418164427e-06
"ENKD1",9.09333350970412e-10,-7.48964798446101,0,0.104,9.36522418164427e-06
"FOXJ1",9.09333350970412e-10,-7.95825696054551,0,0.104,9.36522418164427e-06
"GGTLC1",9.09333350970412e-10,-8.92818153305064,0,0.104,9.36522418164427e-06
"ENOSF1",9.29119071738901e-10,-0.694008186463042,0.038,0.2,9.56899731983894e-06
"CMC1",9.523750553138e-10,3.21669704262301,0.46,0.35,9.80851069467682e-06
"HGSNAT",9.59686664992519e-10,-0.311378866797041,0.084,0.296,9.88381296275795e-06
"CCNT2",9.84640939143105e-10,-0.837563995770542,0.026,0.173,1.01408170322348e-05
"GATA3",1.01077871319459e-09,5.86036213275575,0.171,0.019,1.04100099671911e-05
"GRPEL1",1.05315934220986e-09,-0.263628214468111,0.092,0.315,1.08464880654194e-05
"DEAF1",1.05739232258119e-09,-0.934172641511814,0.026,0.173,1.08900835302636e-05
"ATP13A3",1.1034714173066e-09,-0.676280051440177,0.035,0.192,1.13646521268407e-05
"B3GNT7",1.11326864566864e-09,-0.302736335127712,0.043,0.212,1.14655537817414e-05
