names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
MRPL10,0.98897684,0.6936945,0.3226744728527773,1.0,0.10429447852760736,0.07186791842020071
RAB7A,0.98879963,0.23753592,0.3227611744253974,1.0,0.2822085889570552,0.24797669148591778
PREX1,0.98623043,0.6599123,0.3240200543716618,1.0,0.08895705521472393,0.05503399158303658
LSM2,0.98076713,0.270223,0.3267075993460735,1.0,0.27300613496932513,0.24862415021042408
PRDX5,0.9765146,0.21292174,0.328809520085125,1.0,0.37423312883435583,0.3528650048559404
OXNAD1,0.9749494,1.2997065,0.3295853458502189,1.0,0.049079754601226995,0.015862738750404663
GNG2,0.9700177,0.41815168,0.33203767655118765,1.0,0.12269938650306748,0.08805438653285853
ZC3H15,0.966533,0.26371336,0.3337775515797855,1.0,0.2607361963190184,0.23017157656199416
RPL5,0.95746684,-0.016590962,0.33833167392362296,1.0,0.9846625766871165,0.9951440595662027
FAAP20,0.9568467,0.24982728,0.33864464489279134,1.0,0.2331288343558282,0.19876982842343802
ATP5E,0.95079273,-0.022374326,0.34170959432745607,1.0,0.8251533742331288,0.8740692780835222
COX7C,0.9498182,0.010919716,0.3422046300067525,1.0,0.8650306748466258,0.8905794755584332
RPL34,0.9479282,0.02771943,0.3431660058428303,1.0,0.9969325153374233,0.9993525412754937
PYHIN1,0.9478396,1.167611,0.3432111126366264,1.0,0.05828220858895705,0.026222078342505666
SCAF8,0.942583,1.0378629,0.345894227731548,1.0,0.05828220858895705,0.026222078342505666
C10orf54,0.93912786,0.41183412,0.34766510783965265,1.0,0.12269938650306748,0.08934930398187116
OPTN,0.93856674,0.5525035,0.3479532299505145,1.0,0.08588957055214724,0.053091615409517644
EIF3E,0.9382419,-0.012903496,0.3481201068588672,1.0,0.7760736196319018,0.8157979928779541
IL2RB,0.93286717,2.084895,0.35088854312345163,1.0,0.03987730061349693,0.008416963418582066
PTPN1,0.93017983,0.29619166,0.35227798021342827,1.0,0.19325153374233128,0.1602460343153124
PBXIP1,0.9258683,0.39898235,0.3545144518392932,1.0,0.1441717791411043,0.11265781806409841
RPL35,0.9178652,0.028656557,0.3586894191357053,1.0,0.9938650306748467,0.995791518290709
KIAA1551,0.9150007,0.27272162,0.3601912628309708,1.0,0.18098159509202455,0.14729685982518614
SH3YL1,0.90847427,0.47682208,0.3636277062313724,1.0,0.1165644171779141,0.08611201035933959
HSPA1B,0.90558016,0.26759562,0.3651581006328103,1.0,0.19325153374233128,0.16154095176432504
SSBP1,0.9023317,0.23054846,0.3668806740648344,1.0,0.3128834355828221,0.29912593072191646
ZFP36L1,0.9008552,0.12530011,0.3676653337892295,1.0,0.5153374233128835,0.4978957591453545
GZMM,0.8994672,1.1927345,0.36840386624676624,1.0,0.05521472392638037,0.02492716089349304
MIDN,0.8991423,0.26045173,0.3685768475089909,1.0,0.18098159509202455,0.1476205891874393
IL10RA,0.89255685,0.31289652,0.3720945406812374,1.0,0.12883435582822086,0.09647134995144059
QDPR,0.8910212,0.8510388,0.37291779272320147,1.0,0.06134969325153374,0.03107801877630301
ZNF688,0.89090306,0.54569644,0.37298116649766866,1.0,0.0950920245398773,0.06442214308837811
FUCA2,0.8873593,1.3237773,0.37488548031894287,1.0,0.049079754601226995,0.019100032372936226
RAB1B,0.885174,0.7160325,0.37606279719541513,1.0,0.07975460122699386,0.04953059242473292
RPL23A,0.884731,0.039758965,0.3763017204201432,1.0,1.0,0.9993525412754937
UBQLN1,0.88372695,0.46047023,0.37684362644435354,1.0,0.1196319018404908,0.089025574619618
AKNA,0.8834612,0.27991366,0.3769871526847042,1.0,0.20245398773006135,0.1699579151829071
CD84,0.8829887,0.52745354,0.3772423936664846,1.0,0.09202453987730061,0.061184849465846555
NKG7,0.8791496,1.1164267,0.37932017397525253,1.0,0.06134969325153374,0.03237293622531564
SESN3,0.87847036,0.40350717,0.37968851280920135,1.0,0.12883435582822086,0.09841372612495954
TP53TG1,0.8769643,0.33637625,0.38050604828996015,1.0,0.1196319018404908,0.08740692780835221
GIMAP4,0.8760783,0.91725886,0.3809874562786557,1.0,0.05521472392638037,0.025250890255746197
CHCHD5,0.8716486,0.49242684,0.3834001013274301,1.0,0.12269938650306748,0.09452897377792166
TOX,0.8710285,0.89885926,0.3837386167146315,1.0,0.05828220858895705,0.02848818387827776
LEMD2,0.8676323,0.81140023,0.3855956340089529,1.0,0.06134969325153374,0.031725477500809326
ZAP70,0.8647383,1.7447062,0.38718246058135886,1.0,0.03987730061349693,0.01068306895435416
ZBTB2,0.8637047,1.0534743,0.3877501481499668,1.0,0.05521472392638037,0.02589834898025251
VMA21,0.86296636,0.56257766,0.3881559496965029,1.0,0.10429447852760736,0.07542894140498543
FTL,0.8627006,-0.011786165,0.38830210156751377,1.0,0.9785276073619632,0.995791518290709
NFKBIL1,0.8604562,0.88901186,0.38953760912724733,1.0,0.0705521472392638,0.04208481709291033
DCTN3,0.85962933,0.324391,0.38999339824862256,1.0,0.1687116564417178,0.13920362576885723
AAK1,0.85962933,1.223619,0.38999339824862256,1.0,0.05214723926380368,0.02330851408222726
PTMS,0.85605603,1.1639092,0.39196678380266714,1.0,0.05521472392638037,0.026545807704758822
RCE1,0.85437274,0.7231475,0.39289849038746816,1.0,0.0705521472392638,0.041437358368404016
DOK2,0.8533687,0.99674165,0.39345488370480375,1.0,0.05828220858895705,0.02945937196503723
NR4A1,0.8527781,0.1706471,0.3937823966952274,1.0,0.29141104294478526,0.2631919715118161
SMC5,0.8517445,0.6975173,0.39435594144450037,1.0,0.08282208588957055,0.05438653285853027
ZFP14,0.84639925,0.5942313,0.39733004432424845,1.0,0.09815950920245399,0.07024927160893493
MYEOV2,0.8454838,0.25661296,0.3978407743824117,1.0,0.24846625766871167,0.22855292975072838
COX6B1,0.83629954,0.053079404,0.4029864143130476,1.0,0.5705521472392638,0.5937196503722888
CD58,0.8332578,0.6819464,0.40469934955443143,1.0,0.06441717791411043,0.0356102298478472
ID2,0.8305114,1.0780934,0.4062497149852523,1.0,0.0705521472392638,0.043379734541922954
RPS8,0.8276173,0.051711358,0.4078872642643694,1.0,1.0,0.9990288119132406
DUSP10,0.82679045,0.46110064,0.4083558569504414,1.0,0.1165644171779141,0.08967303334412431
PEBP1,0.8263179,0.15428868,0.408623768088629,1.0,0.4110429447852761,0.39624473939786337
BAX,0.8250776,0.17768507,0.4093275325533906,1.0,0.3098159509202454,0.28099708643573973
FLYWCH2,0.8240145,0.7631792,0.4099313327673101,1.0,0.05828220858895705,0.029783101327290385
THAP11,0.82333523,0.70698655,0.410317371073459,1.0,0.0736196319018405,0.045969569439948205
TBCA,0.821209,0.12556015,0.41152723463158414,1.0,0.4754601226993865,0.46099061184849466
SNAI3,0.82073647,1.4787962,0.41179638040256705,1.0,0.04294478527607362,0.015215280025898349
CFL1,0.8206479,-0.08525343,0.4118468568573105,1.0,0.7944785276073619,0.8604726448688896
PRKCH,0.81778336,1.7000676,0.4134809058878638,1.0,0.04294478527607362,0.015539009388151505
PDCD4,0.81739944,0.24701053,0.41370019347323983,1.0,0.2668711656441718,0.24959533829718356
DYNLT3,0.81447583,0.39996538,0.4153724097713054,1.0,0.11349693251533742,0.08546455163483328
NFKBIZ,0.8128811,0.29487497,0.4162862083783406,1.0,0.1196319018404908,0.08934930398187116
MRPL36,0.8113455,0.48684722,0.4171672828863331,1.0,0.11042944785276074,0.08319844609906119
ARHGDIA,0.8113455,0.17316628,0.4171672828863331,1.0,0.3098159509202454,0.2842343800582713
TECR,0.8112274,0.2872654,0.41723510335504754,1.0,0.18098159509202455,0.15215280025898348
SUMO1,0.806591,0.1371443,0.41990218732819573,1.0,0.3773006134969325,0.36160569763677564
