group,names,scores,logfoldchanges,pvals,pvals_adj
5,SERTM1,-0.029307203,0.41737932,0.9766195823384423,0.9972292218959774
5,GCG,-0.030944789,0.36743486,0.9753135703855998,0.9972292218959774
5,RP11-436D23.1,-0.031561602,0.45045003,0.9748216644471925,0.9972292218959774
5,PRND,-0.031561602,0.48848435,0.9748216644471925,0.9972292218959774
5,ZFHX4-AS1,-0.031561602,0.5167155,0.9748216644471925,0.9972292218959774
5,RP11-466P24.6,-0.031561602,0.6691104,0.9748216644471925,0.9972292218959774
5,XAGE3,-0.031561602,0.5005812,0.9748216644471925,0.9972292218959774
5,EMX2,-0.031561602,0.4997117,0.9748216644471925,0.9972292218959774
5,RP1-28O10.1,-0.03173406,0.6866951,0.9746841307386886,0.9972292218959774
5,POU3F4,-0.033816002,0.47897625,0.973023874477663,0.9972292218959774
5,RP11-865I6.2,-0.033816002,0.5568153,0.973023874477663,0.9972292218959774
5,IGHV3-13,-0.033816002,0.72675717,0.973023874477663,0.9972292218959774
5,AC098973.2,-0.033816002,0.47222036,0.973023874477663,0.9972292218959774
5,IGKV1-6,-0.033816002,0.56409615,0.973023874477663,0.9972292218959774
5,IGLV7-43,-0.033816002,0.5284868,0.973023874477663,0.9972292218959774
5,PCSK1,-0.033816002,0.5057981,0.973023874477663,0.9972292218959774
5,CCDC178,-0.033816002,0.48734707,0.973023874477663,0.9972292218959774
5,S100A7,-0.033816002,0.5012761,0.973023874477663,0.9972292218959774
5,BNC1,-0.033816002,0.56432855,0.973023874477663,0.9972292218959774
5,MAGEA4,-0.033816002,0.5917205,0.973023874477663,0.9972292218959774
5,TRH,-0.036070403,0.6742143,0.9712262215570195,0.9972292218959774
5,TUBB1,-0.036070403,0.5387552,0.9712262215570195,0.9972292218959774
5,PAX6,-0.036070403,0.72177446,0.9712262215570195,0.9972292218959774
5,BMPR1B-AS1,-0.036070403,0.6458935,0.9712262215570195,0.9972292218959774
5,IGKV2D-29,-0.036070403,0.6364449,0.9712262215570195,0.9972292218959774
5,PRSS33,-0.03680219,0.5736722,0.9706427277125954,0.9972292218959774
5,BDKRB1,-0.03756505,0.82001764,0.9700344737933223,0.9972292218959774
5,IGKV2D-28,-0.038324803,0.66542286,0.969428714810339,0.9972292218959774
5,IGKV1D-39,-0.038324803,0.47235265,0.969428714810339,0.9972292218959774
5,OPALIN,-0.038324803,0.47268283,0.969428714810339,0.9972292218959774
5,DSCR8,-0.038324803,0.5969377,0.969428714810339,0.9972292218959774
5,WNT6,-0.03905659,0.49759707,0.9688452703759207,0.9972292218959774
5,C4orf26,-0.039062805,0.6966466,0.9688403155047701,0.9972292218959774
