names,scores,logfoldchanges,pvals,pvals_adj
RBCK1,-3.3577533,-0.67409813,0.0007857871193392711,0.23055460885643525
TAPBP,-3.3506892,-0.42686158,0.0008061072410732178,0.23419786256827194
CD24,-3.3293862,-0.4572084,0.0008703764036261537,0.24895534188743937
MORF4L1,-3.3283231,-0.3983834,0.0008737043786290644,0.24895534188743937
SH3BGRL,-3.314328,-0.38078454,0.0009186372153494406,0.25926566894919356
SF3B6,-3.310519,-0.47895414,0.0009312312751487096,0.260340637809027
STK17A,-3.2960587,-0.38969702,0.0009805155097375876,0.2715569777155483
PRELID1,-3.290301,-0.4235789,0.0010008024587164661,0.27208972533581427
HHEX,-3.2928698,-0.7546316,0.0009917038197948627,0.27208972533581427
MT-ND4,-3.286448,-0.26048645,0.0010145954045912558,0.2733320019968843
MT-ND1,-3.2822404,-0.27236155,0.0010298574986868723,0.27467409966550266
GPR183,-3.2774794,-0.41965514,0.001047383858480185,0.27467409966550266
MCL1,-3.2775679,-0.5012501,0.001047055282449731,0.27467409966550266
MRPL54,-3.2727182,-0.5286372,0.0010651858496647315,0.27689225849968996
SERP1,-3.2677357,-0.38826466,0.0010841152688150738,0.27936236413970345
SRRM2,-3.2588336,-0.4594839,0.001118712360898127,0.28385885354428025
FNIP1,-3.2583244,-0.56351304,0.001120722341387622,0.28385885354428025
PPP1R15A,-3.2379072,-0.39389855,0.0012041001769564125,0.2995061443943015
COX14,-3.2392578,-0.5915478,0.0011984115690204388,0.2995061443943015
XRCC6,-3.2358477,-0.5532127,0.0012128209937003502,0.2995061443943015
VASP,-3.2199035,-0.45948416,0.001282337189624894,0.3140560353499513
GAPDH,-3.214279,-0.3712551,0.0013077259832973336,0.31506627470758686
RPL18A,3.216294,0.07677441,0.0012985771451885257,0.31506627470758686
ZNF706,-3.1999736,-0.44446123,0.0013744022294470385,0.32653999498868813
EZR,-3.1970503,-0.38567603,0.0013884065387249345,0.32653999498868813
ITM2B,-3.1982684,-0.38012344,0.001382555494128743,0.32653999498868813
KHDRBS1,-3.1908278,-0.4931733,0.0014186580226991652,0.3310276523202131
NCOR1,-3.1849153,-0.42512867,0.0014479642161310887,0.3352263404752241
ERP29,-3.1780725,-0.3938011,0.0014825764311470315,0.34057883690396223
RIC3,-3.169414,-0.5547297,0.001527466289151143,0.3481918154823459
ATP6V0B,-3.1534922,-0.50155824,0.0016132957932864097,0.3649496758644998
BFAR,-3.1490853,-1.1478292,0.0016378234403452779,0.3676913623575149
SNRPD1,-3.1349792,-0.47007695,0.0017186623891927272,0.38293865594990434
FCMR,-3.127406,-0.38422486,0.0017635628269704981,0.3843330523135847
SWAP70,-3.12807,-0.46835047,0.0017595814640823497,0.3843330523135847
MT-ND4L,-3.1273615,-0.49746948,0.001763828545408906,0.3843330523135847
CUTA,-3.1230214,-0.3750279,0.0017900482212110718,0.3871991896888241
NDUFB4,-3.1164222,-0.42864034,0.0018305998847438433,0.3874856927464218
SYNGR2,-3.120541,-0.41284868,0.0018051912696840846,0.3874856927464218
PCBP2,-3.1168652,-0.38046485,0.0018278520922388336,0.3874856927464218
NR4A2,-3.1101995,-0.42549428,0.0018696097925415195,0.39293628788776874
LAPTM4A,-3.1042428,-0.5005178,0.0019076678139022083,0.3981114647688594
HNRNPA3,-3.098441,-0.3978035,0.001945418193013907,0.4031505086138051
LSP1,-3.0876122,-0.38501507,0.0020177162460512633,0.41522918913529955
RPL32,3.0835154,0.07110369,0.0020457051779900867,0.41808570513488436
UBE2N,-3.0798173,-0.42332402,0.002071276313909597,0.4204123444273767
CD79A,-3.0740376,-0.3036462,0.0021118285256726925,0.42543182911607635
RPS5,3.0722218,0.06530415,0.002124718590442711,0.42543182911607635
HSH2D,-3.0701623,-0.74963444,0.0021394250993639367,0.4255014992922879
DAZAP2,-3.0638733,-0.37164992,0.002184914915604829,0.4287931695962483
TRA2B,-3.064139,-0.40904284,0.0021829750099646365,0.4287931695962483
BTF3,-3.057695,-0.20106347,0.0022304655648481587,0.4348527404520417
TAF1D,-3.052646,-0.3967563,0.0022683341032701627,0.436492291014987
PRR13,-3.0530446,-0.38334206,0.0022653232031303624,0.436492291014987
MALAT1,-3.0492578,-0.3791131,0.0022940751663290317,0.4385975708322227
ANKRD12,-3.0412414,-0.3730937,0.0023560478004637695,0.4475584648650215
HLA-F,-3.0311437,-0.39304334,0.0024362936002422656,0.4598542964941357
MRPS21,-3.028619,-0.41927645,0.0024567420974402577,0.4607790842755987
MT-CO2,-3.024611,-0.25499344,0.002489531405532755,0.46109233544723544
TAGLN2,-3.0263603,-0.36444053,0.002475171120365329,0.46109233544723544
CYCS,-3.0084233,-0.36546224,0.002626070827271356,0.483360142207201
OSTF1,-3.003463,-0.6928279,0.00266926072281293,0.48638801997612835
COPE,-2.999056,-0.40756854,0.002708173830602051,0.48638801997612835
